Property_Id,Property_name,Street_Name,State_Name,City_Name,Zipcode,Crime_rate
3000,Cityview - 1bhk,Ap #387-1671 Amet Rd.,AR,Fayetteville,72005,12%
3001,Robins Apatment-3 bhk,Ap #913-8113 Sed St.,Vermont,Montpelier,93499,15%
3002,Parkers View-Studio-Apt,"P.O. Box 726, 3426 Egestas. Av.",Idaho,Boise,48868,15%
3003,Logans 2-bhk,Ap #408-7060 Et Ave,LA,New Orleans,57620,2%
3004,Barneys Studio-Apt,"P.O. Box 580, 5135 Lobortis St.",Maine,Bangor,91181,10%
3005,Home sweet home 3-bhk,"P.O. Box 870, 243 Nisl Rd.",WA,Tacoma,42051,10%
3006,Lillys 4-bhk,8166 Aliquet Rd.,WI,Milwaukee,33516,20%
3007,Suncity 3-bhk,"P.O. Box 771, 4536 Donec Rd.",AK,Fairbanks,99610,2%
3008,Hill top view 3-bhk,"P.O. Box 617, 8474 Enim Rd.",Idaho,Boise,37468,20%
3009,Marino 4-bhk,171-7377 Libero Rd.,Illinois,Rockford,10628,20%
